time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-02T03:48:43.210Z,19.17950058,-155.4568329,36.72000122,1.87,md,40,122,,0.140000001,hv,hv72500532,2021-06-02T03:51:47.730Z,"3 km SE of Pāhala, Hawaii",earthquake,0.77,1.00999999,0.07,5,automatic,hv,hv
2021-06-02T03:46:53.600Z,37.9285011,-118.6556702,2.77,1.59,md,10,151,0.2802,0.06,nc,nc73568746,2021-06-02T04:00:19.208Z,"41km N of Toms Place, CA",earthquake,0.83,8.93,0.26,4,automatic,nc,nc
2021-06-02T03:24:40.590Z,35.6631667,-117.4921667,5.41,1.12,ml,17,142,0.0803,0.17,ci,ci39913936,2021-06-02T03:28:19.139Z,"14km SW of Searles Valley, CA",earthquake,0.45,1.41,0.124,14,automatic,ci,ci
2021-06-02T03:24:28.477Z,38.12,-117.918,2.2,1.1,ml,11,120.48,0.038,0.2149,nn,nn00808629,2021-06-02T03:47:58.964Z,"34 km SSE of Mina, Nevada",earthquake,,0.6,0.25,6,automatic,nn,nn
2021-06-02T03:21:42.900Z,33.4958333,-116.5625,18.8,0.68,ml,25,47,0.0669,0.22,ci,ci39913928,2021-06-02T03:25:16.796Z,"12km ESE of Anza, CA",earthquake,0.36,0.74,0.155,20,automatic,ci,ci
2021-06-02T03:15:34.920Z,19.16150093,-155.4753265,31.01000023,1.82000005,md,36,208,,0.150000006,hv,hv72500497,2021-06-02T03:18:46.180Z,"4 km S of Pāhala, Hawaii",earthquake,0.7,0.75,0.159999996,5,automatic,hv,hv
2021-06-02T03:12:16.640Z,37.5219994,-118.824501,5.28,2.21,md,23,159,0.06801,0.02,nc,nc73568736,2021-06-02T03:24:14.471Z,"14km WSW of Toms Place, CA",earthquake,0.33,0.93,0.13,28,automatic,nc,nc
2021-06-02T03:08:56.014Z,36.74,-115.7302,6.9,0.7,ml,15,146.97,0.205,0.1396,nn,nn00808624,2021-06-02T03:13:38.790Z,"19 km NNW of Indian Springs, Nevada",earthquake,,1.8,0.3,13,automatic,nn,nn
2021-06-02T02:51:42.700Z,38.1641,-117.8241,6.5,2,ml,24,56.51,0.037,0.3646,nn,nn00808620,2021-06-02T03:10:01.021Z,"35 km SE of Mina, Nevada",earthquake,,0.3,0.32,14,automatic,nn,nn
2021-06-02T02:50:28.983Z,64.5923,-147.8408,7,1.1,ml,,,,0.64,ak,ak021712pqsy,2021-06-02T02:57:37.253Z,"24 km S of South Van Horn, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-06-02T02:46:09.220Z,33.4586667,-116.9663333,6.94,0.58,ml,13,162,0.1487,0.33,ci,ci39913896,2021-06-02T02:49:47.614Z,"10km W of Aguanga, CA",earthquake,1.31,31.61,0.303,10,automatic,ci,ci
2021-06-02T02:32:25.960Z,38.8055,-122.8301697,2,0.38,md,9,82,0.003451,0.02,nc,nc73568731,2021-06-02T03:08:14.354Z,"7km WNW of The Geysers, CA",earthquake,0.42,1.1,0.32,2,automatic,nc,nc
2021-06-02T02:28:18.010Z,38.831501,-122.8826675,2.45,1.61,md,30,63,0.00674,0.03,nc,nc73568726,2021-06-02T02:57:13.266Z,"12km ENE of Cloverdale, CA",earthquake,0.23,0.32,0.12,8,automatic,nc,nc
2021-06-02T02:22:30.902Z,63.0319,-152.7647,10.5,1.5,ml,,,,0.94,ak,ak021712jqwi,2021-06-02T02:27:44.058Z,"77 km SW of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-06-02T01:56:01.573Z,60.7999,-149.7342,18.6,2.1,ml,,,,0.94,ak,ak0217125jdl,2021-06-02T01:58:50.927Z,"14 km SSW of Hope, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-06-02T01:43:15.830Z,19.18533333,-155.4648333,38.19,2.74,ml,57,103,,0.12,hv,hv72500382,2021-06-02T02:35:36.210Z,"2 km SE of Pāhala, Hawaii",earthquake,0.44,0.55,0.223035592,34,reviewed,hv,hv
2021-06-02T01:41:17.300Z,35.8615,-117.6823333,6.68,0.85,ml,13,107,0.08268,0.18,ci,ci39913872,2021-06-02T01:44:56.412Z,"22km ESE of Little Lake, CA",earthquake,0.4,0.92,0.206,13,automatic,ci,ci
2021-06-02T01:23:24.256Z,24.8172,122.5448,28.78,4.3,mb,,105,0.549,0.63,us,us6000egu0,2021-06-02T01:56:42.040Z,"60 km NW of Yonakuni, Japan",earthquake,3.9,6.7,0.306,3,reviewed,us,us
2021-06-02T01:21:02.671Z,27.4873,142.7232,16.64,4.5,mb,,138,0.618,0.52,us,us6000egu2,2021-06-02T01:42:07.040Z,"Bonin Islands, Japan region",earthquake,5.9,3.4,0.121,20,reviewed,us,us
2021-06-02T01:19:07.806Z,-22.8304,172.134,10,4.6,mb,,115,4.333,1.07,us,us6000egty,2021-06-02T01:44:57.040Z,southeast of the Loyalty Islands,earthquake,11.2,1.9,0.122,20,reviewed,us,us
2021-06-02T01:05:34.930Z,33.4866667,-116.4611667,11.56,0.54,ml,19,69,0.04712,0.15,ci,ci39913848,2021-06-02T01:09:02.261Z,"21km ESE of Anza, CA",earthquake,0.31,0.79,0.094,12,automatic,ci,ci
2021-06-02T00:33:48.910Z,18.6838,-67.4923,10,3.24,md,14,203,0.2996,0.47,pr,pr2021153000,2021-06-02T00:55:09.797Z,"45 km NW of Aguadilla, Puerto Rico",earthquake,1.49,1.12,0.1,13,reviewed,pr,pr
2021-06-02T00:25:53.330Z,38.8208351,-122.82267,2.32,0.85,md,10,133,0.00992,0.01,nc,nc73568716,2021-06-02T00:42:13.338Z,"8km NW of The Geysers, CA",earthquake,0.51,0.79,,1,automatic,nc,nc
2021-06-02T00:25:10.039Z,62.43,-148.2624,30.8,1.3,ml,,,,0.77,ak,ak021711dh8b,2021-06-02T00:31:02.116Z,"71 km N of Chickaloon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-06-02T00:09:55.480Z,32.7458333,-115.8191667,0.95,0.7,ml,13,120,0.124,0.3,ci,ci39913808,2021-06-02T00:13:32.810Z,"16km E of Ocotillo, CA",earthquake,0.67,31.61,0.143,5,automatic,ci,ci
2021-06-02T00:02:10.628Z,62.4764,-148.2592,42.9,1.5,ml,,,,1,ak,ak0217118jt2,2021-06-02T00:19:20.285Z,"76 km N of Chickaloon, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-06-02T00:01:21.780Z,38.8333321,-122.8161697,1.83,0.85,md,14,56,0.01101,0.01,nc,nc73568711,2021-06-02T00:25:12.835Z,"8km NW of The Geysers, CA",earthquake,0.24,0.71,,1,automatic,nc,nc
2021-06-02T00:00:29.740Z,47.59133333,-122.5885,25.45,2.47,ml,64,26,0.08843,0.34,uw,uw61738286,2021-06-02T01:05:13.561Z,"1 km NE of Enetai, Washington",earthquake,0.33,0.54,0.157875621,32,reviewed,uw,uw
2021-06-01T23:39:49.300Z,35.0328333,-117.6783333,0.26,1.48,ml,20,156,0.09932,0.26,ci,ci39913784,2021-06-01T23:43:37.637Z,"4km NW of Boron, CA",quarry blast,0.92,31.61,0.142,26,automatic,ci,ci
2021-06-01T23:34:13.960Z,19.21766663,-155.3731689,33.15000153,2.00999999,md,41,169,,0.109999999,hv,hv72500192,2021-06-01T23:37:25.750Z,"11 km E of Pāhala, Hawaii",earthquake,0.55,0.569999993,0.349999994,13,automatic,hv,hv
2021-06-01T23:23:27.111Z,38.1401,-117.89,8.9,1.2,ml,10,91.74,0.022,0.0721,nn,nn00808617,2021-06-02T01:00:03.492Z,"33 km SE of Mina, Nevada",earthquake,,1.3,0.22,8,reviewed,nn,nn
2021-06-01T23:17:46.080Z,35.896,-117.733,5.33,0.56,ml,9,111,0.08473,0.16,ci,ci39913744,2021-06-01T23:21:19.511Z,"16km ESE of Little Lake, CA",earthquake,0.46,1.38,0.249,5,automatic,ci,ci
2021-06-01T23:13:19.720Z,35.8893333,-117.7448333,7.7,0.66,ml,10,128,0.08223,0.2,ci,ci39913728,2021-06-01T23:16:51.372Z,"16km ESE of Little Lake, CA",earthquake,0.81,1.73,0.305,10,automatic,ci,ci
2021-06-01T23:10:24.640Z,35.898,-117.7373333,6.75,2.43,ml,28,36,0.08297,0.14,ci,ci39913720,2021-06-01T23:21:19.560Z,"16km ESE of Little Lake, CA",earthquake,0.21,0.46,0.175,25,automatic,ci,ci
2021-06-01T23:05:34.690Z,35.8765,-117.6938333,0.21,0.92,ml,14,85,0.0795,0.25,ci,ci39913712,2021-06-01T23:09:10.838Z,"20km ESE of Little Lake, CA",earthquake,0.44,0.89,0.12,12,automatic,ci,ci
2021-06-01T23:05:21.485Z,38.8953,142.3423,60.22,4.4,mb,,221,2.132,0.34,us,us6000egt4,2021-06-01T23:56:07.040Z,"57 km ESE of Ōfunato, Japan",earthquake,11.9,14.4,0.219,6,reviewed,us,us
2021-06-01T23:00:10.907Z,65.0152,-147.2722,0,1.5,ml,,,,0.71,ak,ak0216zrdqte,2021-06-02T00:19:20.089Z,"17 km ENE of Fox, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-06-01T22:57:47.830Z,39.4150009,-123.2850037,-0.17,1.6,md,8,157,0.06751,0.03,nc,nc73568691,2021-06-02T02:05:14.930Z,"6km E of Willits, CA",earthquake,0.4,1.64,0.06,5,automatic,nc,nc
2021-06-01T22:55:04.500Z,19.152,-155.467,34.24,1.81,md,29,168,,0.11,hv,hv72500147,2021-06-02T03:22:27.700Z,"5 km SSE of Pāhala, Hawaii",earthquake,0.71,0.88,0.146706303,15,reviewed,hv,hv
2021-06-01T22:54:18.417Z,62.4368,-148.279,50.6,0.5,ml,,,,0.07,ak,ak0216zr3y1k,2021-06-02T00:19:19.761Z,"71 km N of Chickaloon, Alaska",earthquake,,3.1,,,reviewed,ak,ak
2021-06-01T22:52:21.020Z,34.7836667,-120.3946667,2.91,1.6,ml,22,87,0.09008,0.3,ci,ci39913696,2021-06-01T23:49:28.666Z,"10km SSE of Orcutt, CA",earthquake,0.4,0.72,0.184,25,reviewed,ci,ci
2021-06-01T22:51:31.810Z,34.6618333,-116.5143333,1.85,1.5,ml,19,57,0.09248,0.2,ci,ci39913680,2021-06-01T22:55:03.764Z,"33km WSW of Ludlow, CA",earthquake,0.39,0.85,0.137,24,automatic,ci,ci
2021-06-01T22:43:27.720Z,33.4851667,-116.7985,1.55,0.5,ml,13,70,0.02718,0.26,ci,ci39913664,2021-06-01T22:46:54.963Z,"8km NE of Aguanga, CA",earthquake,0.56,0.72,0.125,10,automatic,ci,ci
2021-06-01T22:32:43.090Z,33.1083333,-117.2193333,6.42,0.95,ml,23,165,0.046,0.3,ci,ci39913656,2021-06-01T22:36:14.738Z,"6km SW of San Marcos, CA",earthquake,0.78,1.14,0.114,7,automatic,ci,ci
2021-06-01T22:26:26.450Z,17.9598,-67.001,7,3,md,12,218,0.1182,0.2,pr,pr2021152003,2021-06-01T23:24:00.338Z,"5 km ESE of La Parguera, Puerto Rico",earthquake,0.67,0.39,0.11,6,reviewed,pr,pr
2021-06-01T22:23:17.690Z,62.4665,-148.2244,39.9,1.5,ml,,,,0.71,ak,ak0216zqx97d,2021-06-02T00:19:19.575Z,"75 km N of Chickaloon, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-06-01T22:19:28.990Z,33.4916667,-116.7993333,2.19,0.56,ml,15,94,0.02067,0.1,ci,ci39913640,2021-06-01T22:23:06.621Z,"8km NE of Aguanga, CA",earthquake,0.19,0.22,0.077,20,automatic,ci,ci
2021-06-01T22:13:23.886Z,62.467,-148.2687,40.8,1,ml,,,,0.51,ak,ak0216zqv481,2021-06-02T00:19:19.244Z,"75 km N of Chickaloon, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2021-06-01T22:08:34.950Z,33.4725,-116.886,13.89,1.37,ml,47,27,0.1202,0.23,ci,ci39913608,2021-06-01T22:19:06.850Z,"4km NNW of Aguanga, CA",earthquake,0.23,0.72,0.195,27,automatic,ci,ci
