time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-01T06:16:52.536Z,62.1412,-152.1629,104.4,1.7,ml,,,,0.45,ak,ak0216zhcw7s,2021-06-01T06:22:23.887Z,"43 km WNW of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-06-01T06:15:39.108Z,62.4478,-148.21,46.1,1.6,ml,,,,0.9,ak,ak0216zhcng6,2021-06-01T06:19:03.207Z,"73 km N of Chickaloon, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-06-01T06:09:24.855Z,62.8977,-148.3121,6.3,1.7,ml,,,,0.82,ak,ak0216zhbc24,2021-06-01T06:13:52.439Z,"63 km SSE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-06-01T06:03:42.520Z,34.1956667,-117.6223333,10.96,0.72,ml,12,96,0.05247,0.12,ci,ci39912232,2021-06-01T06:07:21.496Z,"9km NNW of Rancho Cucamonga, CA",earthquake,0.49,0.42,0.333,17,automatic,ci,ci
2021-06-01T05:58:53.190Z,19.1534996,-155.469162,35.18999863,1.77999997,md,42,154,,0.170000002,hv,hv72498867,2021-06-01T06:02:15.120Z,"5 km S of Pāhala, Hawaii",earthquake,0.59,0.949999988,0.75999999,8,automatic,hv,hv
2021-06-01T05:55:08.399Z,52.3672,159.625,35,4.5,mb,,150,0.885,0.9,us,us6000egi3,2021-06-01T06:17:02.040Z,"100 km SE of Petropavlovsk-Kamchatsky, Russia",earthquake,5.6,1.9,0.051,113,reviewed,us,us
2021-06-01T05:54:29.830Z,33.5975,-116.809,5.93,1.11,ml,44,34,0.03767,0.17,ci,ci39912216,2021-06-01T06:05:46.160Z,"13km WNW of Anza, CA",earthquake,0.2,0.44,0.169,27,automatic,ci,ci
2021-06-01T05:52:31.813Z,62.4434,-148.2898,37.2,1.5,ml,,,,0.71,ak,ak0216zgz4r4,2021-06-01T05:57:00.254Z,"72 km N of Chickaloon, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-06-01T05:40:12.075Z,62.4735,-148.3371,44.6,1.4,ml,,,,0.69,ak,ak0216zgwinr,2021-06-01T05:54:49.696Z,"75 km N of Chickaloon, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-06-01T05:35:46.690Z,62.4562,-148.3106,38.7,1.7,ml,,,,0.37,ak,ak0216zgviqd,2021-06-01T05:43:08.087Z,"73 km N of Chickaloon, Alaska",earthquake,,1.3,,,automatic,ak,ak
